SEXO,IDSEXO,TIPOCUERPO,IDTIPOCUERPO,TIPO,IDTIPO,MODELO,IDMODELO,LONGITUD,CORTE,ANCHURA ,EFECTOVISUAL ,PRENDAAPTA
HOMBRE,0,TIPO V,6,PANTALON ,5,PITILLO,1,NORMAL,ESTRECHO,SIMILAR EN RODILLA Y PIERNA,ACENTUAR LAS PIERNAS,1
HOMBRE,0,TIPO V,6,PANTALON ,5,RECTO,2,NORMAL,AJUSTADO,SIMILAR EN TODA SU LONGITUD,ADELGAZAR A LA PERSONA,0
HOMBRE,0,TIPO V,6,PANTALON ,5,ANCHO,3,NORMAL,HOLGADO,SIMILAR EN TODA SU LONGITUD,ANCHURA SOBRE LA PERSONA,0
HOMBRE,0,TIPO V,6,PANTALON ,5,TIRO ALTO,4,NORMAL,AJUSTADO,SIMILAR EN LA CADERA Y PIERNA,DEFINE LA FORMA DEL CUERPO DE LA PERSONA,1
HOMBRE,0,TIPO V,6,PANTALON ,5,TIRO BAJO,5,NORMAL,RECTO,SIMILAR EN TODA SU LONGITUD,NO PRODUCE EFECTOS ,1
HOMBRE,0,TIPO V,6,PANTALON ,5,CROPPED,6,CORTO,HOLGADO,SIMILAR EN LA CADERA Y PIERNA,ACENTUAR LAS PIERNAS,1
HOMBRE,0,TIPO O,7,PANTALON ,5,PITILLO,1,NORMAL,ESTRECHO,SIMILAR EN RODILLA Y PIERNA,ACENTUAR LAS PIERNAS,0
HOMBRE,0,TIPO O,7,PANTALON ,5,RECTO,2,NORMAL,AJUSTADO,SIMILAR EN TODA SU LONGITUD,ADELGAZAR A LA PERSONA,1
HOMBRE,0,TIPO O,7,PANTALON ,5,ANCHO,3,NORMAL,HOLGADO,SIMILAR EN TODA SU LONGITUD,ANCHURA SOBRE LA PERSONA,1
HOMBRE,0,TIPO O,7,PANTALON ,5,TIRO ALTO,4,NORMAL,AJUSTADO,SIMILAR EN LA CADERA Y PIERNA,DEFINE LA FORMA DEL CUERPO DE LA PERSONA,0
HOMBRE,0,TIPO O,7,PANTALON ,5,TIRO BAJO,5,NORMAL,RECTO,SIMILAR EN TODA SU LONGITUD,NO PRODUCE EFECTOS ,1
HOMBRE,0,TIPO O,7,PANTALON ,5,CROPPED,6,CORTO,HOLGADO,SIMILAR EN LA CADERA Y PIERNA,ACENTUAR LAS PIERNAS,0
HOMBRE,0,TIPO H,8,PANTALON ,5,PITILLO,1,NORMAL,ESTRECHO,SIMILAR EN RODILLA Y PIERNA,ACENTUAR LAS PIERNAS,1
HOMBRE,0,TIPO H,8,PANTALON ,5,RECTO,2,NORMAL,AJUSTADO,SIMILAR EN TODA SU LONGITUD,ADELGAZAR A LA PERSONA,1
HOMBRE,0,TIPO H,8,PANTALON ,5,ANCHO,3,NORMAL,HOLGADO,SIMILAR EN TODA SU LONGITUD,ANCHURA SOBRE LA PERSONA,1
HOMBRE,0,TIPO H,8,PANTALON ,5,TIRO ALTO,4,NORMAL,AJUSTADO,SIMILAR EN LA CADERA Y PIERNA,DEFINE LA FORMA DEL CUERPO DE LA PERSONA,1
HOMBRE,0,TIPO H,8,PANTALON ,5,TIRO BAJO,5,NORMAL,RECTO,SIMILAR EN TODA SU LONGITUD,NO PRODUCE EFECTOS ,1
HOMBRE,0,TIPO H,8,PANTALON ,5,CROPPED,6,CORTO,HOLGADO,SIMILAR EN LA CADERA Y PIERNA,ACENTUAR LAS PIERNAS,1
HOMBRE,0,TIPO A,9,PANTALON ,5,PITILLO,1,NORMAL,ESTRECHO,SIMILAR EN RODILLA Y PIERNA,ACENTUAR LAS PIERNAS,1
HOMBRE,0,TIPO A,9,PANTALON ,5,RECTO,2,NORMAL,AJUSTADO,SIMILAR EN TODA SU LONGITUD,ADELGAZAR A LA PERSONA,0
HOMBRE,0,TIPO A,9,PANTALON ,5,ANCHO,3,NORMAL,HOLGADO,SIMILAR EN TODA SU LONGITUD,ANCHURA SOBRE LA PERSONA,0
HOMBRE,0,TIPO A,9,PANTALON ,5,TIRO ALTO,4,NORMAL,AJUSTADO,SIMILAR EN LA CADERA Y PIERNA,DEFINE LA FORMA DEL CUERPO DE LA PERSONA,1
HOMBRE,0,TIPO A,9,PANTALON ,5,TIRO BAJO,5,NORMAL,RECTO,SIMILAR EN TODA SU LONGITUD,NO PRODUCE EFECTOS ,1
HOMBRE,0,TIPO A,9,PANTALON ,5,CROPPED,6,CORTO,HOLGADO,SIMILAR EN LA CADERA Y PIERNA,ACENTUAR LAS PIERNAS,1
