IDMODELO,IDTIPOCUERPO,PRENDAAPTA
1,1,0
2,1,0
3,1,0
4,1,0
5,1,0
6,1,1
7,1,0
8,1,1
9,1,0
10,1,0
11,1,0
12,1,0
13,1,0
14,1,1
15,1,1
16,1,0
17,1,1
1,2,0
2,2,1
3,2,0
4,2,0
5,2,0
6,2,0
7,2,0
8,2,0
9,2,0
10,2,0
11,2,1
12,2,0
13,2,0
14,2,0
15,2,0
16,2,0
17,2,0
1,3,1
2,3,0
3,3,1
4,3,0
5,3,0
6,3,1
7,3,0
8,3,0
9,3,0
10,3,0
11,3,0
12,3,0
13,3,0
14,3,1
15,3,1
16,3,1
17,3,0
1,4,1
2,4,0
3,4,1
4,4,0
5,4,0
6,4,1
7,4,0
8,4,0
9,4,0
10,4,0
11,4,0
12,4,0
13,4,0
14,4,1
15,4,1
16,4,1
17,4,0
1,5,1
2,5,1
3,5,1
4,5,0
5,5,0
6,5,1
7,5,0
8,5,0
9,5,0
10,5,0
11,5,0
12,5,0
13,5,0
14,5,0
15,5,0
16,5,0
17,5,0
