CONTRATO;Fecha_FI
CTO_TO_045133;2q/2013
CTO_TO_013476;2q/2013
CTO_TO_044848;1q/2014
CTO_TO_057806;2q/2015
CTO_TO_057743;4q/2017
CTO_TO_013476;4q/2017
CTO_TO_044904;4q/2018
CTO_TO_044936;4q/2018
CTO_TO_044935;1q/2019
CTO_TO_057799;3q/2019
CTO_TO_057825;4q/2019
CTO_TO_038186;2q/2011
CTO_TO_038194;4q/2011
CTO_TO_038073;1q/2012
CTO_TO_011636;1q/2015
CTO_TO_057748;1q/2015
CTO_TO_041940;2q/2015
CTO_TO_041940;3q/2015
CTO_TO_038068;4q/2015
CTO_TO_057634;4q/2015
CTO_TO_059107;4q/2015
CTO_TO_038235;1q/2016
CTO_TO_052270;1q/2017
CTO_TO_011559;2q/2017
CTO_TO_011618;4q/2017
CTO_TO_038042;4q/2017
CTO_TO_059109;1q/2018
CTO_TO_057491;2q/2018
CTO_TO_011545;4q/2018
CTO_TO_021885;4q/2019
CTO_TO_052381;3q/2011
CTO_TO_025020;1q/2012
CTO_TO_052381;1q/2012
CTO_TO_052447;2q/2012
CTO_TO_052509;3q/2012
CTO_TO_052462;1q/2014
CTO_TO_052378;1q/2014
CTO_TO_025154;1q/2015
CTO_TO_052517;3q/2016
CTO_TO_024988;4q/2016
CTO_TO_025168;4q/2016
CTO_TO_025013;1q/2017
CTO_TO_052518;2q/2018
CTO_TO_052567;4q/2018
CTO_TO_052328;4q/2018
CTO_TO_025049;4q/2018
CTO_TO_052513;2q/2019
CTO_TO_052352;3q/2019
CTO_TO_056920;4q/2019
CTO_TO_057144;2q/2012
CTO_TO_057081;2q/2012
CTO_TO_057081;4q/2014
CTO_TO_057082;1q/2015
CTO_TO_025273;1q/2015
CTO_TO_023974;1q/2016
CTO_TO_023974;2q/2016
CTO_TO_056952;2q/2016
CTO_TO_057049;3q/2016
CTO_TO_025252;3q/2016
CTO_TO_056967;4q/2016
CTO_TO_057173;4q/2016
CTO_TO_025317;4q/2018
CTO_TO_023962;4q/2019
CTO_TO_005798;3q/2011
CTO_TO_026796;3q/2011
CTO_TO_043082;4q/2011
CTO_TO_043085;4q/2011
CTO_TO_055157;4q/2011
CTO_TO_026951;4q/2011
CTO_TO_026917;1q/2012
CTO_TO_040039;1q/2012
CTO_TO_004039;2q/2012
CTO_TO_052247;2q/2012
CTO_TO_003742;3q/2012
CTO_TO_011943;1q/2013
CTO_TO_027977;1q/2013
CTO_TO_009912;3q/2013
CTO_TO_003755;4q/2013
CTO_TO_059104;1q/2014
CTO_TO_042646;1q/2014
CTO_TO_042645;1q/2014
CTO_TO_026917;2q/2014
CTO_TO_004005;1q/2015
CTO_TO_040044;1q/2015
CTO_TO_009060;2q/2015
CTO_TO_041783;4q/2015
CTO_TO_003825;4q/2015
CTO_TO_052238;4q/2015
CTO_TO_052253;4q/2015
CTO_TO_058983;1q/2016
CTO_TO_043075;2q/2016
CTO_TO_026930;2q/2016
CTO_TO_008965;3q/2016
CTO_TO_024327;3q/2016
CTO_TO_039218;3q/2016
CTO_TO_003995;3q/2016
CTO_TO_021459;4q/2016
CTO_TO_009015;4q/2016
CTO_TO_009448;4q/2016
CTO_TO_026963;4q/2016
CTO_TO_055161;4q/2016
CTO_TO_008962;1q/2017
CTO_TO_052236;1q/2017
CTO_TO_052253;1q/2017
CTO_TO_013641;1q/2017
