Fecha;valoracion_calculada;Covid;0
2021;-1.0;Covid;64
2021;1.0;Covid;51
2020;-1.0;Covid;35
2010;1.0;PreCovid;34
2010;-1.0;PreCovid;31
2011;-1.0;PreCovid;30
2011;1.0;PreCovid;29
2020;1.0;Covid;28
2012;-1.0;PreCovid;23
2015;-1.0;PreCovid;21
2017;-1.0;PreCovid;19
2019;-1.0;Covid;19
2017;1.0;PreCovid;19
2014;1.0;PreCovid;17
2019;1.0;Covid;16
2009;1.0;PreCovid;16
2016;1.0;PreCovid;16
2009;-1.0;PreCovid;16
2018;-1.0;PreCovid;14
2015;1.0;PreCovid;13
2018;1.0;PreCovid;12
2022;1.0;Covid;12
2013;-1.0;PreCovid;12
2016;-1.0;PreCovid;11
2014;-1.0;PreCovid;11
2013;1.0;PreCovid;11
2022;-1.0;Covid;11
2012;1.0;PreCovid;10
2008;-1.0;PreCovid;8
2008;1.0;PreCovid;6
2019;1.0;PreCovid;5
2019;-1.0;PreCovid;4
2007;1.0;PreCovid;1
