;ID;texto_tweet_original;valoracion_corpus;Texto_tweet;valoracion_calculada
0;1;@Almudena_Sopena Se han lucrado del Zaragoza desde el primer minuto estos avalistas... Sus intereses en los préstam… https://t.co/fzRO60kfbg;0;Sopena lucrado Zaragoza primer minuto avalistas  intereses préstam;1.0
1;2;@lal_aragon Buenos!!;0;aragon Buenos;1.0
2;3;@mendezLopezg1 Cómo agua.... T___T)) ya sabía lo que pasaba pero aquí estoy viendo que lo hechen.... ;0;Cómo agua   TT   sabía pasaba aquí viendo hechen  ;0.0
3;4;@J_Zaragoza_ No cómo hizo el psoe en Andalucía 😉😂😂😂😂;0;Zaragoza cómo hizo psoe Andalucía;0.0
4;5;@Diablo_Heraldo @Cruyffero No me convence tampoco pero es mejor que Mingueza.;0;Heraldo convence tampoco mejor Mingueza ;1.0
5;6;@pucelleorleans_ Eso fue obra y gracia de Michel Bachelet... y Heraldo Muñoz;0; obra gracia Michel Bachelet  Heraldo Muñoz;0.0
6;7;@lal_aragon Buenos días cielo,  ya me voy. Feliz día 😘⚘;0;aragon Buenos días cielo  voy  Feliz día;1.0
7;8;#Salud| Mañana las cabinas de tamizaje Covid-19 llegarán a los municipios de Ilopango, Zaragoza, Coatepeque y Victo… https://t.co/9MacyJRJgv;0;Salud Mañana cabinas tamizaje Covid19 llegarán municipios Ilopango  Zaragoza  Coatepeque Victo;1.0
8;9;Video completo...;0;Video completo ;1.0
9;10;@J_Zaragoza_ Así de demócratas son;0;Zaragoza Así demócratas so;0.0
10;11;@aragon_memes @Lizer_zgz Es decir, la lista de ingredientes, o “Recao”, que es lo que viene a significar el nombre,… https://t.co/U3WjtG7FFr;0;memes zgz decir  lista ingredientes  Recao  viene significar nombre ;0.0
11;12;En tus ojos, depositado y lavado con lágrimas tu recuerdo ;0;ojos  depositado lavado lágrimas recuerdo;-1.0
12;13;@ArantxaPMZamora @LaJunglaRadio @LaJunglaNews Es la ruta del silencio. Por el bajo teruel,;0;ruta silencio  bajo teruel ;-1.0
13;14;@marcio_teruel @CDeportivoFAS Sos parte de esa historia Marcio.;0;teruel Sos parte historia Marcio ;-1.0
14;15;#informativocaleño Te Informa ;0;informativocaleño Informa;0.0
15;16;#CañaveraldePasiones no es ni por error de mis telenovelas favoritas, pero con tal de gozar a Angélica Aragón, pues… https://t.co/mmAM6ReN9z;0;CañaveraldePasiones error telenovelas favoritas  tal gozar Angélica Aragón  pues;1.0
16;17;@aragon_memes @Lizer_zgz Aquí un vídeo de otro cocinero de Binéfar que se grabó en la pandemia https://t.co/bCv0aDvqcN;0;memes zgz Aquí vídeo cocinero Binéfar grabó pandemia;0.0
17;18;Ofertas Trabajo Senior Frontend Developer en Aragón: Informática Bages, España Contrato Indefinido Jornada completa… https://t.co/W3ueMSulVB;0;Ofertas Trabajo Senior Frontend Developer Aragón  Informática Bages  España Contrato Indefinido Jornada completa;1.0
18;19;Ofertas Trabajo Auditoría- Seniors de Auditoría Externa - Buenos Aires/Córdoba/Mendoza/Rosario- US Client en Aragón… https://t.co/qNAgzWLKx9;0;Ofertas Trabajo Auditoría Seniors Auditoría Externa Buenos Aires Córdoba Mendoza Rosario US Client Aragón;0.0
19;20;Ofertas Trabajo Programador/a Senior BI en Aragón: En Inycom seleccionamos un/a programador/a BI para incorporarse… https://t.co/Y33jmBxBY9;0;Ofertas Trabajo Programador Senior BI Aragón  Inycom seleccionamos programador BI incorporarse;0.0
20;21;@aragon_memes @Lizer_zgz Teodoro Bardají, lo hizo famoso cuando publicó la receta en la revista culinaria llamada E… https://t.co/E7ag28IOUq;0;memes zgz Teodoro Bardají  hizo famoso publicó receta revista culinaria llamada;1.0
21;22;@angeldelaluz13 @Sandrivaliente No es por nada,pero la ciudad del amor es Teruel.🤷;0; ciudad amor Teruel ;1.0
22;23;@aragon_memes @Lizer_zgz Es un plato de aprovechamiento que deja abierta la lista de ingredientes. Aquí lo nombra c… https://t.co/0cHVBOGNfT;0;memes zgz plato aprovechamiento deja abierta lista ingredientes  Aquí nombra c;1.0
